Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
Kenya,KEN,1990,0.0,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,1990,0.0,Europe & Central Asia,Lower middle income
Cambodia,KHM,1990,0.0,East Asia & Pacific,Lower middle income
Kiribati,KIR,1990,0.0,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,1990,0.0,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1990,0.0233,East Asia & Pacific,High income
Kuwait,KWT,1990,0.0,Middle East & North Africa,High income
Lao PDR,LAO,1990,0.0,East Asia & Pacific,Lower middle income
Lebanon,LBN,1990,0.0,Middle East & North Africa,Lower middle income
Liberia,LBR,1990,0.0,Sub-Saharan Africa,Low income
Libya,LBY,1990,0.0,Middle East & North Africa,Upper middle income
St. Lucia,LCA,1990,0.0,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,1990,0.0,Europe & Central Asia,High income
Sri Lanka,LKA,1990,0.0,South Asia,Lower middle income
Lesotho,LSO,1990,0.0,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,1990,0.0,Europe & Central Asia,High income
Luxembourg,LUX,1990,0.0,Europe & Central Asia,High income
Latvia,LVA,1990,0.0,Europe & Central Asia,High income
"Macao SAR, China",MAC,1990,0.0,East Asia & Pacific,High income
Morocco,MAR,1990,0.0,Middle East & North Africa,Lower middle income
Monaco,MCO,1990,0.0,Europe & Central Asia,High income
Moldova,MDA,1990,0.0,Europe & Central Asia,Upper middle income
Madagascar,MDG,1990,0.0,Sub-Saharan Africa,Low income
Maldives,MDV,1990,0.0,South Asia,Upper middle income
Mexico,MEX,1990,0.0,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,1990,0.0,East Asia & Pacific,Upper middle income
North Macedonia,MKD,1990,0.0,Europe & Central Asia,Upper middle income
Mali,MLI,1990,0.0,Sub-Saharan Africa,Low income
Malta,MLT,1990,0.0,Middle East & North Africa,High income
Myanmar,MMR,1990,0.0,East Asia & Pacific,Lower middle income
Mongolia,MNG,1990,0.0,East Asia & Pacific,Upper middle income
Northern Mariana Islands,MNP,1990,0.0,East Asia & Pacific,High income
